datetime,ticker,size,price
2023-08-08,113,5.84,0
2023-08-09,1,37.997,1
2023-08-10,1,5.799,4
2023-08-11,-1,5.876,0
2023-08-14,-1,5.913,0
2023-08-15,-1,2.224,3
2023-08-16,-2,5.514,4
2023-08-17,2,5.986,0
2023-08-18,4,10.144,7
2023-08-21,-2,6.169,0
2023-08-22,-5,5.542,4
2023-08-23,3,6.269,0
2023-08-24,-3,6.196,0
2023-08-25,4,6.269,0
2023-08-28,-3,6.242,0
2023-08-29,3,6.187,0
2023-08-30,-1,31.598,1
2023-08-31,-1,6.187,0
2023-09-01,-1,6.105,0
2023-09-04,2,6.105,0
2023-09-05,-6,2.11,3
2023-09-06,-2,6.096,0
2023-09-07,-1,2.072,3
2023-09-08,-2,6.233,0
2023-09-11,3,5.895,4
2023-09-12,2,6.269,0
2023-09-13,4,5.856,4
2023-09-14,-1,6.543,0
2023-09-15,-1,6.534,0
2023-09-18,2,6.461,0
2023-09-19,2,6.58,0
2023-09-20,-3,6.571,0
2023-09-21,1,6.543,0
2023-09-22,3,2.129,3
2023-09-25,2,6.534,0
2023-09-26,-2,6.543,0
2023-09-27,-1,2.082,3
2023-09-28,2,6.543,0
2023-10-09,-3,6.507,0
2023-10-10,1,6.425,0
2023-10-11,1,6.342,0
2023-10-12,1,6.406,0
2023-10-13,-1,6.406,0
2023-10-16,-1,6.516,0
2023-10-17,-1,6.498,0
2023-10-18,2,6.425,0
2023-10-19,1,1.93,3
2023-10-20,-1,6.288,0
2023-10-23,1,6.242,0
2023-10-24,1,24.288,1
2023-10-25,-25,5.085,4
2023-10-26,1,6.342,0
2023-10-27,-3,6.278,0
2023-10-30,3,5.959,0
2023-10-31,4,6.059,0
2023-11-01,-7,6.05,0
2023-11-02,2,6.086,0
2023-11-03,-1,6.004,0
2023-11-06,2,5.922,0
2023-11-07,-3,1.949,3
2023-11-08,-1,5.895,0
2023-11-09,2,4.952,4
2023-11-10,-1,5.922,0
2023-11-13,2,4.98,4
2023-11-14,-2,1.968,3
2023-11-15,-1,1.958,3
2023-11-16,1,6.023,0
2023-11-17,-2,5.977,0
2023-11-20,2,5.986,0
2023-11-21,-3,5.104,4
2023-11-22,-1,6.05,0
2023-11-23,1,1.968,3
2023-11-24,2,22.963,1
2023-11-27,1,22.315,1
2023-11-28,3,1.939,3
2023-11-29,-1,1.92,3
2023-11-30,-4,4.961,4
2023-12-01,8,5.028,4
2023-12-04,-10,4.923,4
2023-12-05,-2,1.901,3
2023-12-06,-1,6.251,0
2023-12-07,2,6.288,0
2023-12-08,1,1.892,3
2023-12-11,-1,6.379,0
2023-12-12,1,6.415,0
2023-12-13,-2,1.892,3
2023-12-14,-3,6.479,0
2023-12-15,2,6.443,0
2023-12-18,1,6.452,0
2023-12-19,1,19.224,1
2023-12-20,-1,18.89,1
2023-12-21,1,1.825,3
2023-12-22,1,6.425,0
2023-12-25,2,1.787,3
2023-12-26,4,4.685,4
2023-12-27,-1,6.452,0
2023-12-28,1,1.806,3
2023-12-29,3,6.342,0
2024-01-02,-2,6.553,0
2024-01-03,-5,6.635,0
2024-01-04,2,6.735,0
2024-01-05,3,1.835,3
2024-01-08,-1,1.797,3
2024-01-09,2,6.79,0
2024-01-10,-1,6.808,0
2024-01-11,4,5.038,4
2024-01-12,2,6.744,0
2024-01-15,-1,6.836,0
2024-01-16,-1,6.827,0
