datetime,ticker,size,price
2023-08-08,425,5.84,0
2023-08-09,-425,5.812,0
2023-08-10,413,5.885,0
2023-08-11,-413,5.876,0
2023-08-14,403,5.913,0
2023-08-15,-403,6.05,0
2023-08-16,-403,5.995,0
2023-08-17,403,5.986,0
2023-08-18,-406,6.086,0
2023-08-21,406,6.169,0
2023-08-22,-407,6.187,0
2023-08-23,407,6.269,0
2023-08-24,-433,6.196,0
2023-08-25,433,6.269,0
2023-08-28,-414,6.242,0
2023-08-29,414,6.187,0
2023-08-30,-420,6.16,0
2023-08-31,420,6.187,0
2023-09-01,427,6.105,0
2023-09-04,-427,6.105,0
2023-09-05,165,33.129,1
2023-09-06,-165,33.365,1
2023-09-07,413,6.16,0
2023-09-08,-413,6.233,0
2023-09-11,401,6.251,0
2023-09-12,-401,6.269,0
2023-09-13,-414,6.342,0
2023-09-14,414,6.543,0
2023-09-15,-389,6.534,0
2023-09-18,389,6.461,0
2023-09-19,-411,6.58,0
2023-09-20,411,6.571,0
2023-09-21,-394,6.543,0
2023-09-22,394,6.507,0
2023-09-25,158,29.734,1
2023-09-26,-158,29.116,1
2023-09-27,-405,6.443,0
2023-09-28,405,6.543,0
2023-10-09,383,6.507,0
2023-10-10,-383,6.425,0
2023-10-11,153,27.133,1
2023-10-12,-153,27.673,1
2023-10-13,384,6.406,0
2023-10-16,-384,6.516,0
2023-10-17,383,6.498,0
2023-10-18,-383,6.425,0
2023-10-19,-414,6.352,0
2023-10-20,414,6.288,0
2023-10-23,410,6.242,0
2023-10-24,-410,6.251,0
2023-10-25,396,6.169,0
2023-10-26,-396,6.342,0
2023-10-27,161,25.161,1
2023-10-30,-161,24.867,1
2023-10-31,404,6.059,0
2023-11-01,-404,6.05,0
2023-11-02,408,6.086,0
2023-11-03,-408,6.004,0
2023-11-06,392,5.922,0
2023-11-07,-392,5.904,0
2023-11-08,390,5.895,0
2023-11-09,-390,5.94,0
2023-11-10,391,5.922,0
2023-11-13,-391,5.913,0
2023-11-14,377,5.94,0
2023-11-15,-377,5.949,0
2023-11-16,-398,6.023,0
2023-11-17,398,5.977,0
2023-11-20,-390,5.986,0
2023-11-21,390,6.041,0
2023-11-22,-383,6.05,0
2023-11-23,383,6.132,0
2023-11-24,-388,6.086,0
2023-11-27,388,6.105,0
2023-11-28,-372,6.132,0
2023-11-29,372,6.105,0
2023-11-30,-374,6.187,0
2023-12-01,374,6.178,0
2023-12-04,-375,6.233,0
2023-12-05,375,6.269,0
2023-12-06,-370,6.251,0
2023-12-07,370,6.288,0
2023-12-08,-383,6.379,0
2023-12-11,383,6.379,0
2023-12-12,-383,6.415,0
2023-12-13,383,6.498,0
2023-12-14,-369,6.479,0
2023-12-15,369,6.443,0
2023-12-18,-367,6.452,0
2023-12-19,367,6.498,0
2023-12-20,-372,6.47,0
2023-12-21,372,6.452,0
2023-12-22,385,6.425,0
2023-12-25,-385,6.425,0
2023-12-26,378,6.452,0
2023-12-27,-378,6.452,0
2023-12-28,371,6.333,0
2023-12-29,-371,6.342,0
2024-01-02,-158,19.891,1
2024-01-03,158,19.842,1
2024-01-04,-153,19.538,1
2024-01-05,153,18.91,1
2024-01-08,-373,6.69,0
2024-01-09,373,6.79,0
2024-01-10,-377,6.808,0
2024-01-11,377,6.717,0
2024-01-12,-404,6.744,0
2024-01-15,404,6.836,0
2024-01-16,380,6.827,0
2024-01-17,-380,6.735,0
2024-01-18,-397,6.735,0
2024-01-19,397,6.708,0
2024-01-22,-378,6.507,0
2024-01-23,378,6.589,0
2024-01-24,377,6.754,0
2024-01-25,-377,6.79,0
2024-01-26,-384,6.918,0
2024-01-29,384,6.927,0
2024-01-30,-380,6.946,0
2024-01-31,380,6.964,0
2024-02-01,155,16.045,1
2024-02-02,-155,15.358,1
2024-02-05,-354,7.192,0
2024-02-06,354,7.366,0
2024-02-07,181,16.074,1
2024-02-08,-181,16.408,1
2024-02-19,-330,7.53,0
2024-02-20,330,7.631,0
2024-02-21,-127,16.908,1
2024-02-22,127,16.996,1
2024-02-23,-292,7.649,0
2024-02-26,292,7.293,0
2024-02-27,-296,7.338,0
2024-02-28,296,7.448,0
2024-02-29,279,7.485,0
2024-03-01,-279,7.384,0
2024-03-04,279,7.576,0
2024-03-05,-279,7.677,0
2024-03-06,-120,17.664,1
2024-03-07,120,17.085,1
2024-03-08,-264,7.722,0
2024-03-11,264,7.604,0
2024-03-12,-271,7.311,0
2024-03-13,271,7.22,0
2024-03-14,-113,18.939,1
2024-03-15,113,18.625,1
2024-03-18,270,7.53,0
2024-03-19,-270,7.348,0
2024-03-20,274,7.43,0
2024-03-21,-274,7.439,0
2024-03-22,-259,7.366,0
2024-03-25,259,7.503,0
2024-03-26,259,7.613,0
2024-03-27,-259,7.594,0
2024-03-28,-257,7.649,0
2024-03-29,257,7.823,0
2024-04-01,-252,7.485,0
2024-04-02,252,7.677,0
2024-04-03,-107,20.205,1
2024-04-08,107,20.146,1
2024-04-09,-252,7.658,0
2024-04-10,252,7.741,0
