Year,Universe Size,Entries,Exits,Turnover
2006,300,300,0,0.0
2007,300,49,49,0.32666666666666666
2008,300,62,62,0.41333333333333333
2009,300,47,47,0.31333333333333335
2010,298,38,40,0.26
2011,300,34,32,0.2214765100671141
2012,300,50,50,0.3333333333333333
2013,300,39,39,0.26
2014,300,49,49,0.32666666666666666
2015,300,48,48,0.32
2016,300,42,42,0.28
2017,300,51,51,0.34
2018,300,54,54,0.36
2019,300,51,51,0.34
2020,300,35,35,0.23333333333333334
2021,300,47,47,0.31333333333333335
2022,300,52,52,0.3466666666666667
2023,300,42,42,0.28
2024,300,23,23,0.15333333333333332
2025,300,28,28,0.18666666666666668
